source,spot,time,userid,content,star
美团,周庄,2019-02-07 21:59:22,Qmq843663998,今天陪着爸妈一起去周庄旅游，古色古香的老街，各种特色小吃，👍👍👍，唯一不好的是人多，路面不平，年纪大的人有点困难。,3.0
美团,周庄,2019-02-07 18:53:28,匿名用户,印象不深刻，就感觉一般般，随大流的景区,2.0
美团,周庄,2019-01-14 22:38:08,yBI578876253,江南六大古镇之一，一座江南小镇，有“中国第一水乡”之誉 。景点沈万三故居、富安桥、双桥、沈厅、怪楼、周庄八景。 ​​​,5.0
美团,周庄,2019-02-07 16:23:53,小東北1314,环境很干净  初一去人很多  风景很好,4.0
美团,周庄,2019-02-19 21:15:15,zhw13468888634,晚上7点半以后刘就不要门票了，停车场太远，走了半个小时，,2.0
美团,周庄,2019-03-23 13:57:37,匿名用户,3月份去的人不是特别多，走走看看挺好的，就是里面的饭菜挺贵的，也不算特别好吃，不过适合全家出来逛，里面的景色挺漂亮。,4.0
美团,周庄,2019-02-10 17:01:44,匿名用户,不错，小镇风貌保留的很好!,4.0
美团,周庄,2019-02-11 20:50:02,AYD150719,小镇很有特色 值得推荐 比西塘小一点,5.0
美团,周庄,2019-02-10 17:12:39,Pbj409381376,12月初去的，游客不多感觉很好,5.0
美团,周庄,2019-01-06 21:23:14,爱旅游的向日葵,感觉周庄没有同里有江南的感觉，特色小吃味道一般般，个人感觉中国第一水乡名不其实。不过美团128的门票价格还可以。,3.0
美团,周庄,2019-02-08 16:33:24,RaG244327994,强烈推荐水乡周庄，在里面逛吃逛喝，物价合理，江南的古色古香，来的时候比较冷，夏天会更舒适点！,5.0
美团,周庄,2019-03-16 17:45:54,匿名用户,价位是有点高，不过里面一直看的话也能看整整一天。东西还是蛮多的，不过最多得是人，那天刚好还有点下小雨，路上特别滑。,4.0
美团,周庄,2019-02-10 20:53:34,匿名用户,提前买 比售票点便宜20 古镇还可以 适合看夜景 不过古镇感觉都大同小异 商业味儿浓 怪物可以转一圈,4.0
美团,周庄,2019-02-09 07:36:38,匿名用户,风景不错👍就是人多了点！嘻嘻😜,3.0
美团,周庄,2019-02-06 18:14:21,mrU639620420,很好玩,4.0
美团,周庄,2019-02-08 00:21:07,吹水无抹嘴,特别喜欢这里，小桥流水人家，就是节假日人特别多,5.0
美团,周庄,2019-02-06 18:06:34,洁洁j星宇,节假日人多，散散心还是不错的...,3.0
美团,周庄,2018-10-03 01:31:39,Y涛U,"十一国庆假期，为了错开高峰人群。我决定9月30号出发。去了有江南第一水乡之称的周庄。从苏州北广场买的汽车票直达周庄18元。然后在周庄新客站做261路公交车1元就到周庄古牌楼景区了。景区旁边有一个拍照，拍一下就可以三天之内随意进出。
     到了周庄，我直接就去我订好的民宿外婆桥客栈。这家客栈的阿姨还是比较热情的。各方面条件还是不错的。100多块钱一晚，价格倒也不贵。然后吃了一些晚饭，品尝了一下万三蹄。味道还可以吧。就开始了我的夜游周庄。
      从双桥—张厅—沈厅—南湖明月（赏中秋灯花）—隆兴桥—西湾街—贞丰桥—迷楼—中市街—怪楼—青龙桥—后港街—双桥（起点）这是我走的一条线路。
      怪楼还是挺有意思的，门票需要单买30块钱一个人。可以拍一些奇特的照片。还有就是双桥旁边有一家小酒吧，逛累了可以进去休息一下，喝杯饮料，免费K歌。在里面可以认识一些天南地北的朋友。高歌一曲，舒缓自己心中的压力。建议朋友们在景区内住一晚，早上早点起来。清晨的周庄又是另外一番美景。没有城市的喧嚣。只有古街的宁静和安详。可以逛一逛，拍拍照片。
      周庄惬意的生活是我所向往的，我还会再来的😍",4.0
美团,周庄,2019-02-16 22:30:39,龚彬彬,人有点多，适合赶热闹，不太适合拍照,3.0
美团,周庄,2019-03-09 11:23:53,kpy238813912,环境优美，休闲度假带小孩去玩玩不错的，小孩子也很兴奋，周边吃饭住宿也很方便，逛逛古镇，感受一下江南水乡！！！,4.0
美团,周庄,2019-01-12 08:39:51,匿名用户,还不错，就是再也不要节假日去了，这人挤人的太恐怖了😱记得好几年之前去的，印象蛮好的，结果这次国庆去，满脑子就是人挤人的印象了……,3.0
美团,周庄,2018-12-12 10:47:14,krd492753502,去的时候天气很好，走路走着走着就热了，小桥流水人家，比几年前开发的更多了，小吃和饭店更多了，价格实惠，菜品好吃😋点个赞！和家人一起游玩，感觉很开心，特意买了沈万三的猪蹄，好吃，不是很甜也不是很咸，带回去给朋友吃了！,5.0
美团,周庄,2019-03-14 17:52:32,极品大仙,嗯，第二次去了，其实这种古镇雨天或者晚上才最有感觉，时间充足点最好，可以慢慢逛,3.0
美团,周庄,2019-02-08 16:44:26,骑驴的猫708,文化底蕴还是有，但是路边的真的太商业化了，全部都是叫卖的吃的和饭店,4.0
美团,周庄,2019-02-19 17:26:14,匿名用户,强烈建议早上和晚上进园参观，实在想看沈厅张厅的，错峰出行，节假日慎入，包括春节。夜景不错，早上没人时也挺好看，可以拍拍照，商业氛围浓郁，热闹,3.0
美团,周庄,2019-03-18 19:47:33,uKB446500134,风景不错，古设施也很有特色。美食也值得一尝！,3.0
美团,周庄,2019-03-16 14:57:25,WCQ421866409,门口服务态度差，说话不耐烦，好像谁都欠他们八百吊似的……,2.0
美团,周庄,2019-02-10 21:41:22,Love凝优,春节碰上下雨天，人多又挤草草的逛完了周庄，也就3小时连吃饭在内，里面住宿吃饭店太多，景区门票价格太高，我们车停在景区附近的村民那里，因为他们把我们拦住了，说是近，停车费也是20，就是地太破。,3.0
美团,周庄,2018-12-29 21:57:26,MM小聪,已经是第二次去了，第一次去还是五六年前，这次去感觉大变样，有些东西都不一样了，不过感觉还是很好，值得一去,5.0
美团,周庄,2019-03-07 21:54:26,sfp127205542,感觉还不错  可以去玩一下   但我想说整个整个周庄镇上的东西都不便宜特别是景区里面,4.0
美团,周庄,2018-12-02 11:40:53,uLv407829403,我是从无锡去苏州玩的，坐高铁到苏州站，下车可以去苏州北客运站买到周庄古镇的直达车，18元/人，但是客运站的工作人员会给你推荐景点门票的联票，我觉得没有多大的区别，我在美团买的88元/人，车站卖的100，多了一个把你送到景点门口的钱，我是直接到周庄客运站的，车程80分钟左右，你可以选择睡一会，到了周庄客运站有261公交车，是开往周庄景区的，1元/人。下车后有一段距离就到了景点，在进入景点时一定要拍照(免费的，因为这个可以反复进出景区的凭证，很划算,4.0
美团,周庄,2019-03-13 16:48:05,丶冰吻,周庄已经完全商业化了，一点古镇的味道都没有了,3.0
美团,周庄,2019-03-19 08:37:46,vSW717468587,感觉很美，哈哈😄,4.0
美团,周庄,2019-03-16 17:12:29,lfD262839494,还可以吧！就是有点迷茫。不知道该怎么走。,3.0
美团,周庄,2019-03-16 19:33:10,且听峰吟88,还行,4.0
美团,周庄,2019-02-06 16:29:07,匿名用户,人太多了，给我印象最不好的是吃的，其中有1家叫万三食府的，那个饭菜真难吃，青菜炒的是生的，点了个套餐还收了米饭钱20元，隔壁桌叫了一瓶白酒，被发现是假酒，老板灰溜溜地给换了，建议不要去这家吃了,2.0
美团,周庄,2019-03-14 13:00:24,匿名用户,那些曾经一起看世界第一反应不是自己,3.0
美团,周庄,2019-03-05 21:28:04,邵二哥,设施很老化，没有新的地方。环境真的很一般，没有什么新意，没有什么新奇的地方。！,2.0
美团,周庄,2019-01-29 22:33:26,bjh194,买之前不知道火车只是小孩子坐的，上面也没说明，去前台问的时候服务员态度很不好，一脸无语地说只有小孩子才坐的，没有大人坐过，最后只是吃了点东西，量很少，饮料也不好喝，也没坐纸火车。买了58元的单人套餐时，服务员还一脸不屑。体验真的很差。,1.0
美团,周庄,2019-02-11 09:43:07,UYg969550570,江南第一水乡打卡点，万三蹄味道不错，但是每家价格相差太大，我们买的是55元现吃的，味道很赞，白水鱼没有同里的好吃，小吃价格相对较贵点。,5.0
美团,周庄,2018-11-04 07:55:39,热的冰咖啡123,去了才知道晚上的周庄是不要票的白天和晚上是不一样的周庄！晚上的灯光很美里面还有小酒吧白天逛累了可以进去坐会喝点小酒听听歌不错的选择。白天可以坐着小船听船夫讲解每个桥的由来船夫大哥还给唱了几首小曲当然这是单独收费的张厅沈厅可以去看看还有值得一提的是周庄的肘子和猪蹄有好多家卖的味道偏甜价格很便宜很好吃店家还能帮忙真空邮走总之值得一去！,3.0
美团,周庄,2019-03-13 11:15:38,吴小蒙。,收钱进去就的确太过分了点！low！,1.0
美团,周庄,2019-03-14 14:03:12,flS816635131,贵,4.0
美团,周庄,2019-02-15 15:35:16,KxK132091637,过年前几天去的，大多数商家都关门了，游客也不多，很冷清，吃的东西不贵，平时去可能更好，感觉不值这个门票钱,1.0
美团,周庄,2019-03-03 17:31:49,匿名用户,还满意，小桥，流水，人家，环境挺不错的！,3.0
美团,周庄,2019-02-22 20:25:31,倔强的青春？,可能没有赶旅游季节吧，人很少，然后所以得小吃都是一样，都是酱猪蹄,2.0
美团,周庄,2018-10-22 11:41:52,翘廖,周庄，有“中国第一水乡”之誉。位于苏州昆山周庄镇，是江南六大古镇之一，周庄镇60%以上的民居仍为明清建筑，有近百座古典宅院和60多个砖雕门楼，还保存了14座各具特色的古桥。景点有：沈万三故居、富安桥、双桥、沈厅、张厅等，我去的时候正赶上年度灯会，夜景非常漂亮。,5.0
美团,周庄,2019-03-03 21:26:06,小心呀丶,比较满意，可是媳妇不喜欢古镇旅游区,3.0
美团,周庄,2019-02-12 18:21:45,匿名用户,价格太贵，买票处到景区路太远了，不行,2.0
美团,周庄,2019-01-18 13:18:34,TJV172555960,5分,4.0
美团,周庄,2019-02-27 14:18:37,倪大爷儿,下雨天来的，反正不好玩，走来走去看看，也没啥好吃的，没西塘好玩,2.0
美团,周庄,2019-02-14 23:41:35,小小c落,里面不大，路很小，吃的也不多，很多饭馆在门口拉客，感觉不好，门票价格是真贵，不值,1.0
美团,周庄,2019-02-20 19:01:45,GJJ684623926,演出非常精彩，灯光舞美设计很有创意，演员阵容强大，演出很卖力，值得一看！,5.0
美团,周庄,2019-02-19 14:37:19,匿名用户,大名鼎鼎的周庄我来了，地方不算太大，有点出乎意料，里面吃饭贵的要命,3.0
美团,周庄,2019-03-03 17:35:30,qiangfeiyan,人比较少,4.0
美团,周庄,2018-10-06 15:44:13,Fangjing27,去过乌镇，西塘，苏州地区的古镇水乡，美景都是大同小异，只是节假日的人实在太多，景区商业化严重，走走停停看看小桥流水，心境惬意。景区东西有点贵，街两旁有吃饭的店很多，但事先看好价格！别被宰了。中饭在打着网络评比冠军的店里买了一只万三猪蹄，价格65元，比其他店贵了，而且真的不太好吃，感觉猪的腥味很重！其他店里四十几块的也有但是没敢买，不知道新鲜与否！还有就是停车要注意，如果早上开车，途径离景区还有1.8公里左右的交叉路口会放有一块交通拥堵的指示牌提醒车辆绕右边路行，如果没有交警在路口指挥，还是按导航的直行到景区最好！停车下车就在景区门口了，很方便！停车费10元,5.0
美团,周庄,2019-02-24 10:37:31,changding02,好地方，以后有机会还回去。喜欢这种感觉,5.0
美团,周庄,2019-02-22 21:31:11,以为过去,好好的古镇完全就变成了商业街，都是卖东西的,2.0
美团,周庄,2018-12-17 11:51:54,特大可乐,名符其实，不虚此行，真是个放松的好地方，在众多古镇中可算名列前茅了,4.0
美团,周庄,2019-02-17 07:12:10,_qqdv81366982501,停车场离景区特选，走了半小时。环镇游船没什么景色，就是可以少走点路,2.0
美团,周庄,2019-02-22 15:18:04,匿名用户,挺好的。虽然很冷，但还是感觉到了古镇风采。,3.0
美团,周庄,2018-11-27 15:25:54,iCT894602166,现在的周庄比以前的周庄更好看更适合去逛了，晚上多了很多花灯，还有纸箱王，下午逛逛买买，累了茶楼喝个茶，晚上看看夜景，坐坐床，简直悠哉悠哉,5.0
美团,周庄,2019-02-10 22:23:48,zhw13468888634,停车场太远了，被工作人员拦住停车，走了半个小时，才知道景区大门口还有停车场，服务不好。,2.0
美团,周庄,2019-02-22 19:11:46,匿名用户,还不错乘船游览最有看头，晚上去看灯最好。,3.0
美团,周庄,2018-12-21 16:52:03,lzj273888356,环境很好，很值得去玩儿一下，强烈推荐要找导游介绍,5.0
美团,周庄,2019-02-12 14:33:14,卡西酱啊酱,古朴的气息，青砖石瓦静谧的小镇让人很舒心放松心情真的不错,5.0
美团,周庄,2019-02-24 21:32:20,hYH927013829,很好,5.0
美团,周庄,2019-02-14 09:37:31,心塞尐帥,过年之前去的，很多店家关门了，游客也不多。这时候才是放松的日子,4.0
美团,周庄,2019-02-09 10:36:59,樱•古拉,生命奥秘博物馆没几个人，一进门就有一股很浓的福尔马林的味道，不值这个价,2.0
美团,周庄,2019-02-14 11:50:14,徐毛豆豆,商业化太严重 不适合带孩子去玩，还是带孩子去孩子喜欢的地方。,2.0
美团,周庄,2019-02-16 19:24:49,匿名用户,环境不错，住着挺舒服的，人也热情，下次再去，还去她家。,4.0
美团,周庄,2019-02-18 23:25:48,tLb595938595,一点不值，一点不值。怎么没有季节差价，不值。,2.0
美团,周庄,2019-02-06 22:23:01,whG648724263,第一次来，150元做条船，6人，景区东西还可以，都是良心价格、新年里人多但是热闹,4.0
美团,周庄,2019-02-17 12:16:07,社会主义攻城狮,一般吧  毕竟只是一个小村  和乌镇相差很大,3.0
美团,周庄,2019-02-17 14:22:09,LCG梁,环境一般，没什么可以娱乐的地方,2.0
美团,周庄,2019-02-23 21:31:56,匿名用户,太不行了。。。。。。。。。。。。。。。。。。。。,1.0
美团,周庄,2019-02-16 22:12:55,春风十里不过境,沈厅不错，外船在里面做不了，里面的也只有一个，一般吧,3.0
美团,周庄,2019-02-18 13:55:43,zwB800184167,还不错，就是人太多太多。导致体验感觉不好,4.0
美团,周庄,2019-02-15 09:55:17,匿名用户,有人说夜景美，我觉得还白天更清爽些!,5.0
美团,周庄,2019-02-15 10:43:53,邱成娟,来到昆山，必去景点，带朋友家人去过很多次了,4.0
美团,周庄,2019-02-10 22:25:17,zhw13468888634,周庄的确很美，尤其是晚上，坐船180一艘，景色漂亮，网上买票很方便。,2.0
美团,周庄,2018-12-25 12:38:28,匿名用户,秋天去的，天气很凉爽，环境不错，不过喃有点小，建议游玩时间半天就ok。,3.0
美团,周庄,2019-02-06 19:56:46,匿名用户,商业气息太浓，失去了古镇的意味。有些饭店的消费也是贵了点，味道还一般,2.0
美团,周庄,2019-02-10 15:35:33,匿名用户,人挤人，著名景点名不虚传。也没什么看头，到此一游罢了。,2.0
美团,周庄,2019-02-15 16:00:08,香果xxm,就一般般吧，评价还要限制多少字,2.0
美团,周庄,2019-02-11 00:05:52,陆筱雅17,就是一条普通的商业街，各种小吃什么的，感觉不值票价,2.0
美团,周庄,2019-02-02 20:40:42,wm5234,不知道怎么评价，一点乐趣没有，里面都是卖东西的，基本没有游玩的，想要玩啥得从新掏钱买票,1.0
美团,周庄,2019-02-12 17:01:36,筱月杨007,地方小，两个小时就差不多看完，过节就不要去了，,3.0
美团,周庄,2019-02-10 17:01:14,M.J1983,"徒有虚名 比乌镇差远了 
不会再去了…………",2.0
美团,周庄,2019-02-13 06:17:27,匿名用户,小桥流水，老人们逛得乐呵，孩子们玩购得开心,5.0
美团,周庄,2019-02-10 09:20:17,NSy121532925,感觉不太好玩，票价不值，去周庄还远，有点折腾,2.0
美团,周庄,2019-02-13 12:30:19,匿名用户,环境不错，假期有引道，停车有点不便。,3.0
美团,周庄,2019-02-10 13:00:01,SoA241921171,还可以，值得游玩，就是停车不方便，有点远了,5.0
美团,周庄,2019-02-06 18:54:24,SXa806738586,超级差 对不起我的88人民币 里面全是商业街 没去过的不建议去,1.0
美团,周庄,2019-02-12 12:26:37,樱花雨后＊殇,环境优美 ，集合了我对江南水乡的所有向往,3.0
美团,周庄,2019-02-11 20:36:32,Imu627363638,一般般，跟名气不相符合，有点失望,2.0
美团,周庄,2019-02-08 06:29:08,匿名用户,人太多了，根本看不到什么了，就跟着人流走，以后都不来了,2.0
美团,周庄,2019-02-06 20:30:27,Rae_Qee,「怪楼」「叶楚仓故居」「迷楼」还行吧，去一次没问题，去多了就当烦了,3.0
美团,周庄,2019-02-09 17:26:47,lichenyu2006827,里面有若干店铺服务员态度极差，有点失望,2.0
美团,周庄,2019-02-09 08:45:07,匿名用户,环境很好，不过庄内东西偏贵，很多可以在庄外买到,4.0
美团,周庄,2019-02-11 23:09:21,xingyimei124,不咋好玩不咋好玩啦啦啦啦拉拉裤不好用,2.0
美团,周庄,2019-02-10 07:38:36,匿名用户,年初五去的，环境优美，是个不错的旅游景点,3.0
美团,周庄,2019-02-11 13:50:16,YbE357892691,好玩，很好看，值得去看，很多好看的地方,5.0
美团,周庄,2019-02-14 21:32:11,EQZ437107988,还行吧，给婆婆买的。。。。。。。。,2.0
美团,周庄,2018-12-06 21:15:08,匿名用户,景区不错，保存很好的的江南古镇，就是景区停车场离景区太远了，走过去又走回来累死了！,5.0
美团,周庄,2019-02-09 17:54:30,帅气的红烧肉,往事不要再提，人生已多风雨。。。。。,5.0
美团,周庄,2019-02-09 21:23:27,大大大大大红苹了,值得一游，美订票快捷，不用换票,3.0
美团,周庄,2019-02-07 08:07:54,匿名用户,:还可以吧，环境不好。:很喜欢这里，人很多,3.0
美团,周庄,2019-02-08 20:43:15,yvs280650266,还好，名气蛮大的，卫生条件还好,3.0
美团,周庄,2018-11-14 12:29:52,xUc89974346,一场说走就走的旅行，景色不错，可能是周末，街道比较拥挤，推荐早点去。后来中午去的沈万三故居，去的时候人不太多，感觉特别好，环境幽静，石凳上小憩一会，三五好友聊聊天，河边再钓个鱼，很完美。古镇适合慢慢欣赏,3.0
美团,周庄,2019-02-09 22:29:29,匿名用户,还不错。古色古香。适合开春去踏青。,3.0
美团,周庄,2019-02-07 21:20:13,PMx858553648,不好玩，小商品市场集聚地。没有古镇的味道了。,1.0
美团,周庄,2019-02-10 13:04:36,FKZ204820788,「古镇水巷游」「南湖秋月园」,5.0
美团,周庄,2019-02-03 06:01:15,PKX176386496,现代化设施破坏原有建筑风貌，商业气息浓厚。,2.0
美团,周庄,2019-02-09 19:07:31,OwZ876142561,太一般了，和想象的完全不一样，去了第一次不会想第二次,2.0
美团,周庄,2019-02-10 18:29:47,Bie810494265,还不错，适合带家人来！！！！！,3.0
美团,周庄,2019-02-08 19:44:01,dcy710766532,确实挺一般的，不如台儿庄。。。,2.0
美团,周庄,2019-02-03 23:05:44,匿名用户,去的时候是国庆节，人太多了，玩的感觉反而没有那么好了,2.0
美团,周庄,2019-01-29 08:50:50,NsA615042844,环境还不错，很大，基本都是一些小商店，娱乐实施基本没有，适合散步,3.0
美团,周庄,2019-02-05 06:10:11,QHH0508,里面的环境不错，面积很大。,4.0
美团,周庄,2019-01-20 19:17:17,ado968788503,陪人玩的，成熟经典，都还不错。惊讶的是里面吃的不贵。晚上的灯光秀就一般般了，害我吹了半天冷风，不划算,4.0
美团,周庄,2019-02-06 19:04:33,匿名用户,也还可以吧，第一次来，转了几个小时,3.0
美团,周庄,2019-02-07 10:01:27,ZH.（丑八怪）,不错不错下次再来呵呵,4.0
美团,周庄,2019-02-06 20:30:49,Rae_Qee,去一次没问题，去多了就没意思了。,3.0
美团,周庄,2018-11-12 11:55:39,小澈cc,第4次去了，取票非常非常方便快捷。但是周庄真的人好多啊！太挤了！而且导游团们聒噪得很。风景还是不错的，也很干净,5.0
美团,周庄,2019-01-25 06:39:36,eze559797493,昆山的古镇，有意思的当属周庄，里面还有表演，其他的都大同小异，里面所有的景点也都差不多,4.0
美团,周庄,2019-02-06 22:18:55,努力！！尝试！！,人太多了,4.0
美团,周庄,2019-02-06 22:18:39,努力！！尝试！！,人太多了,4.0
美团,周庄,2019-02-01 15:38:55,oBM855233422,没有了古镇的味道，古镇也很小。,1.0
美团,周庄,2019-01-06 22:54:19,rge243608624,古镇的感觉都差不多，但是一路从上海松江这边自驾游过去，路途中很多不错的小景点，回来还去了采摘葡萄，虽然有点小贵，但是很开心,3.0
美团,周庄,2019-01-28 22:12:46,HUq119062154,环境一般般，我是想象中的样子，一般般吧！,2.0
美团,周庄,2019-01-29 18:38:59,mtyhlq,厕所很豪华,5.0
美团,周庄,2019-01-29 11:30:36,NVK531559121,帮别人买的 不知道情况 不知道啊啊,3.0
美团,周庄,2019-01-14 13:58:39,匿名用户,去周庄不如去同里，周庄没有小镇那种意境，但是同里到晚上人少了，还是很有江南水乡的感觉的。,2.0
美团,周庄,2018-12-02 13:55:28,匿名用户,江南水乡，古色古香，值得一去,4.0
美团,周庄,2019-01-26 11:43:40,陈大姐啊,没什么好看的 ，谢谢谢谢谢谢谢谢谢谢,2.0
美团,周庄,2018-10-30 18:59:37,ssdahouzi,毕竟是第一水乡，管理方面比别的水乡好多了，也有商店，但不讨厌，反而觉得很有特色。是唯一去了还想去的水乡,5.0
美团,周庄,2018-10-09 23:54:04,倩儿tu,差到没朋友   分别在12年和15年去过一次都感觉还行  今年再去一次感觉真的好差  治安很差从一这边走过来去沈厅回来必须要原路返回过双桥去沈万三的衣冠冢结果不让上桥  必须按照进来的路程在挤一脚进来绕过去   沈厅沈万三的家以前的厨房现在搞得很商业化  差点以为我走错了  结果看了看没错被里面的人忽悠了半天我男朋友没办法买了四个元宝点心  玩的超级不尽兴就回来了  至于以后不会再来了也不会推荐朋友过来,1.0
美团,周庄,2018-10-26 22:16:34,cxt977179585,挂有“中国第一水乡”名称的周庄，环境优美，地理位置很好，一下高速就到了，停车收费便宜位置开阔，个人觉得不如乌镇好玩，周庄商业性质相对浓些，,2.0
美团,周庄,2019-01-24 14:46:05,qdfanwei,强烈推荐，非常好玩,5.0
美团,周庄,2019-01-24 10:49:48,xuzengxiang08,新年一大家人一起出去旅游，很开心！,3.0
美团,周庄,2018-12-27 14:47:33,owi407161938,周庄里面其实没什么特别吸引人的地方，有些民宿很好看，建议去了逛完民宿再决定住哪家，好多好看的民宿网上不容易找到，四季周庄的演出倒是不错。,3.0
美团,周庄,2018-10-08 20:15:52,GmH385219273,周庄是南方的一个水乡小镇，游客特别多。设施，基础设施齐全。住宿和饮食还都挺好的。门票可以反复出入，只要在门票上面盖章照相就可以。镇上面的东西特别好还价格实惠。周庄不大以沈家为主的，总体说地方不大，但转一转还是蛮开心的。,5.0
美团,周庄,2019-01-11 09:07:16,huyoujun123,周庄就是一个古镇，有艺术气息的推荐去，带小朋友去很累，路不太好走！,3.0
